symptom1,symptom2,symptom3,disease,remedies
fever,fever,fever,COVID-19,Isolation; Hydration; Doctor consultation
sore throat,body pain,diarrhea,Migraine,Pain relievers; Avoid bright light; Hydrate
sore throat,body pain,none,Common Cold,Rest; Drink warm fluids; Paracetamol
sore throat,chills,fever,Typhoid,Antibiotics; Hydration; Consult doctor
sore throat,chills,cough,COVID-19,Isolation; Hydration; Doctor consultation
sore throat,chills,headache,Migraine,Pain relievers; Avoid bright light; Hydrate
sore throat,chills,body pain,Migraine,Pain relievers; Avoid bright light; Hydrate
sore throat,chills,chills,Gastroenteritis,ORS; Rest; Hydration
sore throat,chills,sore throat,COVID-19,Isolation; Hydration; Doctor consultation
sore throat,chills,shortness of breath,COVID-19,Isolation; Hydration; Doctor consultation
sore throat,chills,fatigue,Food Poisoning,IV fluids; Rest; Electrolytes
sore throat,chills,nausea,Strep Throat,Antibiotics; Hydration; Rest
sore throat,chills,vomiting,Food Poisoning,IV fluids; Rest; Electrolytes
sore throat,chills,diarrhea,Dengue,Papaya leaf juice; Hydrate; Consult doctor
sore throat,chills,none,Common Cold,Rest; Drink warm fluids; Paracetamol
sore throat,sore throat,fever,Food Poisoning,IV fluids; Rest; Electrolytes
sore throat,sore throat,cough,Malaria,Antimalarial drugs; Bed rest; Fluids
sore throat,sore throat,headache,Flu,Bed rest; Hydration; Paracetamol
sore throat,sore throat,body pain,Flu,Bed rest; Hydration; Paracetamol
sore throat,sore throat,chills,Common Cold,Rest; Drink warm fluids; Paracetamol
sore throat,sore throat,sore throat,Malaria,Antimalarial drugs; Bed rest; Fluids
sore throat,sore throat,shortness of breath,Malaria,Antimalarial drugs; Bed rest; Fluids
sore throat,sore throat,fatigue,Gastroenteritis,ORS; Rest; Hydration
sore throat,sore throat,nausea,Flu,Bed rest; Hydration; Paracetamol
sore throat,sore throat,vomiting,Asthma,Inhaler; Avoid triggers; Rest
sore throat,sore throat,diarrhea,Asthma,Inhaler; Avoid triggers; Rest
sore throat,sore throat,none,Dengue,Papaya leaf juice; Hydrate; Consult doctor
sore throat,shortness of breath,fever,Migraine,Pain relievers; Avoid bright light; Hydrate
sore throat,shortness of breath,cough,Strep Throat,Antibiotics; Hydration; Rest
sore throat,shortness of breath,headache,Asthma,Inhaler; Avoid triggers; Rest
sore throat,shortness of breath,body pain,Asthma,Inhaler; Avoid triggers; Rest
sore throat,shortness of breath,chills,Bronchitis,Honey; Ginger tea; Steam inhalation
sore throat,shortness of breath,sore throat,Strep Throat,Antibiotics; Hydration; Rest
sore throat,shortness of breath,shortness of breath,Strep Throat,Antibiotics; Hydration; Rest
sore throat,shortness of breath,fatigue,Gastroenteritis,ORS; Rest; Hydration
sore throat,shortness of breath,nausea,Asthma,Inhaler; Avoid triggers; Rest
sore throat,shortness of breath,vomiting,COVID-19,Isolation; Hydration; Doctor consultation
sore throat,shortness of breath,diarrhea,Typhoid,Antibiotics; Hydration; Consult doctor
sore throat,shortness of breath,none,Pneumonia,Antibiotics; Hydration; Hospital care
sore throat,fatigue,fever,Malaria,Antimalarial drugs; Bed rest; Fluids
sore throat,fatigue,cough,Common Cold,Rest; Drink warm fluids; Paracetamol
sore throat,fatigue,headache,Pneumonia,Antibiotics; Hydration; Hospital care
sore throat,fatigue,body pain,Pneumonia,Antibiotics; Hydration; Hospital care
sore throat,fatigue,chills,COVID-19,Isolation; Hydration; Doctor consultation
sore throat,fatigue,sore throat,Malaria,Antimalarial drugs; Bed rest; Fluids
sore throat,fatigue,shortness of breath,Common Cold,Rest; Drink warm fluids; Paracetamol
sore throat,fatigue,fatigue,Dengue,Papaya leaf juice; Hydrate; Consult doctor
sore throat,fatigue,nausea,Pneumonia,Antibiotics; Hydration; Hospital care
sore throat,fatigue,vomiting,Gastroenteritis,ORS; Rest; Hydration
sore throat,fatigue,diarrhea,Asthma,Inhaler; Avoid triggers; Rest
sore throat,fatigue,none,Food Poisoning,IV fluids; Rest; Electrolytes
sore throat,nausea,fever,COVID-19,Isolation; Hydration; Doctor consultation
sore throat,nausea,cough,Flu,Bed rest; Hydration; Paracetamol
sore throat,nausea,headache,Strep Throat,Antibiotics; Hydration; Rest
sore throat,nausea,body pain,Strep Throat,Antibiotics; Hydration; Rest
sore throat,nausea,chills,Dengue,Papaya leaf juice; Hydrate; Consult doctor
sore throat,nausea,sore throat,Asthma,Inhaler; Avoid triggers; Rest
sore throat,nausea,shortness of breath,Flu,Bed rest; Hydration; Paracetamol
sore throat,nausea,fatigue,Malaria,Antimalarial drugs; Bed rest; Fluids
sore throat,nausea,nausea,Strep Throat,Antibiotics; Hydration; Rest
sore throat,nausea,vomiting,Food Poisoning,IV fluids; Rest; Electrolytes
sore throat,nausea,diarrhea,Food Poisoning,IV fluids; Rest; Electrolytes
sore throat,nausea,none,Common Cold,Rest; Drink warm fluids; Paracetamol
sore throat,vomiting,fever,Strep Throat,Antibiotics; Hydration; Rest
sore throat,vomiting,cough,Bronchitis,Honey; Ginger tea; Steam inhalation
sore throat,vomiting,headache,Gastroenteritis,ORS; Rest; Hydration
sore throat,vomiting,body pain,Gastroenteritis,ORS; Rest; Hydration
sore throat,vomiting,chills,COVID-19,Isolation; Hydration; Doctor consultation
sore throat,vomiting,sore throat,Malaria,Antimalarial drugs; Bed rest; Fluids
sore throat,vomiting,shortness of breath,Bronchitis,Honey; Ginger tea; Steam inhalation
sore throat,vomiting,fatigue,Pneumonia,Antibiotics; Hydration; Hospital care
sore throat,vomiting,nausea,Gastroenteritis,ORS; Rest; Hydration
sore throat,vomiting,vomiting,Flu,Bed rest; Hydration; Paracetamol
sore throat,vomiting,diarrhea,Flu,Bed rest; Hydration; Paracetamol
sore throat,vomiting,none,Migraine,Pain relievers; Avoid bright light; Hydrate
sore throat,diarrhea,fever,Gastroenteritis,ORS; Rest; Hydration
sore throat,diarrhea,cough,Dengue,Papaya leaf juice; Hydrate; Consult doctor
sore throat,diarrhea,headache,Common Cold,Rest; Drink warm fluids; Paracetamol
sore throat,diarrhea,body pain,Common Cold,Rest; Drink warm fluids; Paracetamol
sore throat,diarrhea,chills,Strep Throat,Antibiotics; Hydration; Rest
sore throat,diarrhea,sore throat,Pneumonia,Antibiotics; Hydration; Hospital care
sore throat,diarrhea,shortness of breath,Dengue,Papaya leaf juice; Hydrate; Consult doctor
sore throat,diarrhea,fatigue,Typhoid,Antibiotics; Hydration; Consult doctor
sore throat,diarrhea,nausea,Typhoid,Antibiotics; Hydration; Consult doctor
sore throat,diarrhea,vomiting,Typhoid,Antibiotics; Hydration; Consult doctor
sore throat,diarrhea,diarrhea,Bronchitis,Honey; Ginger tea; Steam inhalation
sore throat,diarrhea,none,Asthma,Inhaler; Avoid triggers; Rest
sore throat,none,fever,Typhoid,Antibiotics; Hydration; Consult doctor
sore throat,none,cough,Flu,Bed rest; Hydration; Paracetamol
sore throat,none,headache,Strep Throat,Antibiotics; Hydration; Rest
sore throat,none,body pain,Food Poisoning,IV fluids; Rest; Electrolytes
sore throat,none,chills,Gastroenteritis,ORS; Rest; Hydration
sore throat,none,sore throat,Asthma,Inhaler; Avoid triggers; Rest
sore throat,none,shortness of breath,Flu,Bed rest; Hydration; Paracetamol
sore throat,none,fatigue,Malaria,Antimalarial drugs; Bed rest; Fluids
sore throat,none,nausea,Strep Throat,Antibiotics; Hydration; Rest
sore throat,none,vomiting,Food Poisoning,IV fluids; Rest; Electrolytes
sore throat,none,diarrhea,Dengue,Papaya leaf juice; Hydrate; Consult doctor
sore throat,none,none,Common Cold,Rest; Drink warm fluids; Paracetamol
shortness of breath,fever,fever,Typhoid,Antibiotics; Hydration; Consult doctor
shortness of breath,fever,cough,Asthma,Inhaler; Avoid triggers; Rest
shortness of breath,fever,headache,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,fever,body pain,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,fever,chills,Pneumonia,Antibiotics; Hydration; Hospital care
shortness of breath,fever,sore throat,COVID-19,Isolation; Hydration; Doctor consultation
shortness of breath,fever,shortness of breath,Asthma,Inhaler; Avoid triggers; Rest
shortness of breath,fever,fatigue,Strep Throat,Antibiotics; Hydration; Rest
shortness of breath,fever,nausea,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,fever,vomiting,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,fever,diarrhea,Migraine,Pain relievers; Avoid bright light; Hydrate
shortness of breath,fever,none,Bronchitis,Honey; Ginger tea; Steam inhalation
shortness of breath,cough,fever,Malaria,Antimalarial drugs; Bed rest; Fluids
shortness of breath,cough,cough,Common Cold,Rest; Drink warm fluids; Paracetamol
shortness of breath,cough,headache,Pneumonia,Antibiotics; Hydration; Hospital care
shortness of breath,cough,body pain,Pneumonia,Antibiotics; Hydration; Hospital care
shortness of breath,cough,chills,Flu,Bed rest; Hydration; Paracetamol
shortness of breath,cough,sore throat,Common Cold,Rest; Drink warm fluids; Paracetamol
shortness of breath,cough,shortness of breath,Typhoid,Antibiotics; Hydration; Consult doctor
shortness of breath,cough,fatigue,Dengue,Papaya leaf juice; Hydrate; Consult doctor
shortness of breath,cough,nausea,Dengue,Papaya leaf juice; Hydrate; Consult doctor
shortness of breath,cough,vomiting,Gastroenteritis,ORS; Rest; Hydration
shortness of breath,cough,diarrhea,Gastroenteritis,ORS; Rest; Hydration
shortness of breath,cough,none,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,headache,fever,Typhoid,Antibiotics; Hydration; Consult doctor
shortness of breath,headache,cough,Asthma,Inhaler; Avoid triggers; Rest
shortness of breath,headache,headache,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,headache,body pain,Migraine,Pain relievers; Avoid bright light; Hydrate
shortness of breath,headache,chills,Flu,Bed rest; Hydration; Paracetamol
shortness of breath,headache,sore throat,COVID-19,Isolation; Hydration; Doctor consultation
shortness of breath,headache,shortness of breath,Asthma,Inhaler; Avoid triggers; Rest
shortness of breath,headache,fatigue,Strep Throat,Antibiotics; Hydration; Rest
shortness of breath,headache,nausea,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,headache,vomiting,Migraine,Pain relievers; Avoid bright light; Hydrate
shortness of breath,headache,diarrhea,Pneumonia,Antibiotics; Hydration; Hospital care
shortness of breath,headache,none,Bronchitis,Honey; Ginger tea; Steam inhalation
shortness of breath,body pain,fever,Dengue,Papaya leaf juice; Hydrate; Consult doctor
shortness of breath,body pain,cough,Migraine,Pain relievers; Avoid bright light; Hydrate
shortness of breath,body pain,headache,Typhoid,Antibiotics; Hydration; Consult doctor
shortness of breath,body pain,body pain,Typhoid,Antibiotics; Hydration; Consult doctor
shortness of breath,body pain,chills,Malaria,Antimalarial drugs; Bed rest; Fluids
shortness of breath,body pain,sore throat,Dengue,Papaya leaf juice; Hydrate; Consult doctor
shortness of breath,body pain,shortness of breath,Migraine,Pain relievers; Avoid bright light; Hydrate
shortness of breath,body pain,fatigue,COVID-19,Isolation; Hydration; Doctor consultation
shortness of breath,body pain,nausea,Asthma,Inhaler; Avoid triggers; Rest
shortness of breath,body pain,vomiting,Typhoid,Antibiotics; Hydration; Consult doctor
shortness of breath,body pain,diarrhea,Common Cold,Rest; Drink warm fluids; Paracetamol
shortness of breath,body pain,none,Gastroenteritis,ORS; Rest; Hydration
shortness of breath,chills,fever,Gastroenteritis,ORS; Rest; Hydration
shortness of breath,chills,cough,Dengue,Papaya leaf juice; Hydrate; Consult doctor
shortness of breath,chills,headache,Common Cold,Rest; Drink warm fluids; Paracetamol
shortness of breath,chills,body pain,Common Cold,Rest; Drink warm fluids; Paracetamol
shortness of breath,chills,chills,Strep Throat,Antibiotics; Hydration; Rest
shortness of breath,chills,sore throat,Dengue,Papaya leaf juice; Hydrate; Consult doctor
shortness of breath,chills,shortness of breath,Dengue,Papaya leaf juice; Hydrate; Consult doctor
shortness of breath,chills,fatigue,Typhoid,Antibiotics; Hydration; Consult doctor
shortness of breath,chills,nausea,COVID-19,Isolation; Hydration; Doctor consultation
shortness of breath,chills,vomiting,Typhoid,Antibiotics; Hydration; Consult doctor
shortness of breath,chills,diarrhea,Bronchitis,Honey; Ginger tea; Steam inhalation
shortness of breath,chills,none,Asthma,Inhaler; Avoid triggers; Rest
shortness of breath,sore throat,fever,Gastroenteritis,ORS; Rest; Hydration
shortness of breath,sore throat,cough,Dengue,Papaya leaf juice; Hydrate; Consult doctor
shortness of breath,sore throat,headache,Common Cold,Rest; Drink warm fluids; Paracetamol
shortness of breath,sore throat,body pain,Common Cold,Rest; Drink warm fluids; Paracetamol
shortness of breath,sore throat,chills,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,sore throat,sore throat,Gastroenteritis,ORS; Rest; Hydration
shortness of breath,sore throat,shortness of breath,Dengue,Papaya leaf juice; Hydrate; Consult doctor
shortness of breath,sore throat,fatigue,Common Cold,Rest; Drink warm fluids; Paracetamol
shortness of breath,sore throat,nausea,Typhoid,Antibiotics; Hydration; Consult doctor
shortness of breath,sore throat,vomiting,Bronchitis,Honey; Ginger tea; Steam inhalation
shortness of breath,sore throat,diarrhea,Malaria,Antimalarial drugs; Bed rest; Fluids
shortness of breath,sore throat,none,Asthma,Inhaler; Avoid triggers; Rest
shortness of breath,shortness of breath,fever,Common Cold,Rest; Drink warm fluids; Paracetamol
shortness of breath,shortness of breath,cough,COVID-19,Isolation; Hydration; Doctor consultation
shortness of breath,shortness of breath,headache,Migraine,Pain relievers; Avoid bright light; Hydrate
shortness of breath,shortness of breath,body pain,Migraine,Pain relievers; Avoid bright light; Hydrate
shortness of breath,shortness of breath,chills,Flu,Bed rest; Hydration; Paracetamol
shortness of breath,shortness of breath,sore throat,Common Cold,Rest; Drink warm fluids; Paracetamol
shortness of breath,shortness of breath,shortness of breath,COVID-19,Isolation; Hydration; Doctor consultation
shortness of breath,shortness of breath,fatigue,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,shortness of breath,nausea,Migraine,Pain relievers; Avoid bright light; Hydrate
shortness of breath,shortness of breath,vomiting,Dengue,Papaya leaf juice; Hydrate; Consult doctor
shortness of breath,shortness of breath,diarrhea,Gastroenteritis,ORS; Rest; Hydration
shortness of breath,shortness of breath,none,Malaria,Antimalarial drugs; Bed rest; Fluids
shortness of breath,fatigue,fever,Malaria,Antimalarial drugs; Bed rest; Fluids
shortness of breath,fatigue,cough,Bronchitis,Honey; Ginger tea; Steam inhalation
shortness of breath,fatigue,headache,Gastroenteritis,ORS; Rest; Hydration
shortness of breath,fatigue,body pain,Flu,Bed rest; Hydration; Paracetamol
shortness of breath,fatigue,chills,COVID-19,Isolation; Hydration; Doctor consultation
shortness of breath,fatigue,sore throat,Malaria,Antimalarial drugs; Bed rest; Fluids
shortness of breath,fatigue,shortness of breath,Bronchitis,Honey; Ginger tea; Steam inhalation
shortness of breath,fatigue,fatigue,Pneumonia,Antibiotics; Hydration; Hospital care
shortness of breath,fatigue,nausea,Pneumonia,Antibiotics; Hydration; Hospital care
shortness of breath,fatigue,vomiting,Gastroenteritis,ORS; Rest; Hydration
shortness of breath,fatigue,diarrhea,Flu,Bed rest; Hydration; Paracetamol
shortness of breath,fatigue,none,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,nausea,fever,Pneumonia,Antibiotics; Hydration; Hospital care
shortness of breath,nausea,cough,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,nausea,headache,COVID-19,Isolation; Hydration; Doctor consultation
shortness of breath,nausea,body pain,COVID-19,Isolation; Hydration; Doctor consultation
shortness of breath,nausea,chills,Bronchitis,Honey; Ginger tea; Steam inhalation
shortness of breath,nausea,sore throat,Migraine,Pain relievers; Avoid bright light; Hydrate
shortness of breath,nausea,shortness of breath,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,nausea,fatigue,Asthma,Inhaler; Avoid triggers; Rest
shortness of breath,nausea,nausea,COVID-19,Isolation; Hydration; Doctor consultation
shortness of breath,nausea,vomiting,Typhoid,Antibiotics; Hydration; Consult doctor
shortness of breath,nausea,diarrhea,Typhoid,Antibiotics; Hydration; Consult doctor
shortness of breath,nausea,none,Gastroenteritis,ORS; Rest; Hydration
shortness of breath,vomiting,fever,COVID-19,Isolation; Hydration; Doctor consultation
shortness of breath,vomiting,cough,Flu,Bed rest; Hydration; Paracetamol
shortness of breath,vomiting,headache,Strep Throat,Antibiotics; Hydration; Rest
shortness of breath,vomiting,body pain,Strep Throat,Antibiotics; Hydration; Rest
shortness of breath,vomiting,chills,Dengue,Papaya leaf juice; Hydrate; Consult doctor
shortness of breath,vomiting,sore throat,Asthma,Inhaler; Avoid triggers; Rest
shortness of breath,vomiting,shortness of breath,Flu,Bed rest; Hydration; Paracetamol
shortness of breath,vomiting,fatigue,Malaria,Antimalarial drugs; Bed rest; Fluids
shortness of breath,vomiting,nausea,Strep Throat,Antibiotics; Hydration; Rest
shortness of breath,vomiting,vomiting,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,vomiting,diarrhea,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,vomiting,none,Common Cold,Rest; Drink warm fluids; Paracetamol
shortness of breath,diarrhea,fever,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,diarrhea,cough,Bronchitis,Honey; Ginger tea; Steam inhalation
shortness of breath,diarrhea,headache,Gastroenteritis,ORS; Rest; Hydration
shortness of breath,diarrhea,body pain,Gastroenteritis,ORS; Rest; Hydration
shortness of breath,diarrhea,chills,COVID-19,Isolation; Hydration; Doctor consultation
shortness of breath,diarrhea,sore throat,Malaria,Antimalarial drugs; Bed rest; Fluids
shortness of breath,diarrhea,shortness of breath,Bronchitis,Honey; Ginger tea; Steam inhalation
shortness of breath,diarrhea,fatigue,Pneumonia,Antibiotics; Hydration; Hospital care
shortness of breath,diarrhea,nausea,Gastroenteritis,ORS; Rest; Hydration
shortness of breath,diarrhea,vomiting,Flu,Bed rest; Hydration; Paracetamol
shortness of breath,diarrhea,diarrhea,Flu,Bed rest; Hydration; Paracetamol
shortness of breath,diarrhea,none,Migraine,Pain relievers; Avoid bright light; Hydrate
shortness of breath,none,fever,Pneumonia,Antibiotics; Hydration; Hospital care
shortness of breath,none,cough,Migraine,Pain relievers; Avoid bright light; Hydrate
shortness of breath,none,headache,COVID-19,Isolation; Hydration; Doctor consultation
shortness of breath,none,body pain,Typhoid,Antibiotics; Hydration; Consult doctor
shortness of breath,none,chills,Strep Throat,Antibiotics; Hydration; Rest
shortness of breath,none,sore throat,Pneumonia,Antibiotics; Hydration; Hospital care
shortness of breath,none,shortness of breath,Food Poisoning,IV fluids; Rest; Electrolytes
shortness of breath,none,fatigue,Asthma,Inhaler; Avoid triggers; Rest
shortness of breath,none,nausea,COVID-19,Isolation; Hydration; Doctor consultation
shortness of breath,none,vomiting,Common Cold,Rest; Drink warm fluids; Paracetamol
shortness of breath,none,diarrhea,Bronchitis,Honey; Ginger tea; Steam inhalation
shortness of breath,none,none,Gastroenteritis,ORS; Rest; Hydration
fatigue,fever,fever,Migraine,Pain relievers; Avoid bright light; Hydrate
fatigue,fever,cough,Strep Throat,Antibiotics; Hydration; Rest
fatigue,fever,headache,Asthma,Inhaler; Avoid triggers; Rest
fatigue,fever,body pain,Asthma,Inhaler; Avoid triggers; Rest
fatigue,fever,chills,Common Cold,Rest; Drink warm fluids; Paracetamol
fatigue,fever,sore throat,Food Poisoning,IV fluids; Rest; Electrolytes
fatigue,fever,shortness of breath,Strep Throat,Antibiotics; Hydration; Rest
fatigue,fever,fatigue,Flu,Bed rest; Hydration; Paracetamol
fatigue,fever,nausea,Asthma,Inhaler; Avoid triggers; Rest
fatigue,fever,vomiting,COVID-19,Isolation; Hydration; Doctor consultation
fatigue,fever,diarrhea,COVID-19,Isolation; Hydration; Doctor consultation
fatigue,fever,none,Pneumonia,Antibiotics; Hydration; Hospital care
fatigue,cough,fever,Typhoid,Antibiotics; Hydration; Consult doctor
fatigue,cough,cough,Asthma,Inhaler; Avoid triggers; Rest
fatigue,cough,headache,Food Poisoning,IV fluids; Rest; Electrolytes
fatigue,cough,body pain,Food Poisoning,IV fluids; Rest; Electrolytes
fatigue,cough,chills,Pneumonia,Antibiotics; Hydration; Hospital care
fatigue,cough,sore throat,COVID-19,Isolation; Hydration; Doctor consultation
fatigue,cough,shortness of breath,Asthma,Inhaler; Avoid triggers; Rest
fatigue,cough,fatigue,Strep Throat,Antibiotics; Hydration; Rest
fatigue,cough,nausea,Food Poisoning,IV fluids; Rest; Electrolytes
fatigue,cough,vomiting,Migraine,Pain relievers; Avoid bright light; Hydrate
fatigue,cough,diarrhea,Migraine,Pain relievers; Avoid bright light; Hydrate
fatigue,cough,none,Bronchitis,Honey; Ginger tea; Steam inhalation
fatigue,headache,fever,Migraine,Pain relievers; Avoid bright light; Hydrate
fatigue,headache,cough,Strep Throat,Antibiotics; Hydration; Rest
fatigue,headache,headache,Asthma,Inhaler; Avoid triggers; Rest
fatigue,headache,body pain,COVID-19,Isolation; Hydration; Doctor consultation
fatigue,headache,chills,Malaria,Antimalarial drugs; Bed rest; Fluids
fatigue,headache,sore throat,Migraine,Pain relievers; Avoid bright light; Hydrate
fatigue,headache,shortness of breath,Strep Throat,Antibiotics; Hydration; Rest
fatigue,headache,fatigue,Flu,Bed rest; Hydration; Paracetamol
fatigue,headache,nausea,Asthma,Inhaler; Avoid triggers; Rest
fatigue,headache,vomiting,COVID-19,Isolation; Hydration; Doctor consultation
fatigue,headache,diarrhea,Common Cold,Rest; Drink warm fluids; Paracetamol
fatigue,headache,none,Pneumonia,Antibiotics; Hydration; Hospital care
fatigue,body pain,fever,Common Cold,Rest; Drink warm fluids; Paracetamol
fatigue,body pain,cough,COVID-19,Isolation; Hydration; Doctor consultation
fatigue,body pain,headache,Migraine,Pain relievers; Avoid bright light; Hydrate
fatigue,body pain,body pain,Migraine,Pain relievers; Avoid bright light; Hydrate
fatigue,body pain,chills,Gastroenteritis,ORS; Rest; Hydration
fatigue,body pain,sore throat,Typhoid,Antibiotics; Hydration; Consult doctor
fatigue,body pain,shortness of breath,COVID-19,Isolation; Hydration; Doctor consultation
fatigue,body pain,fatigue,Food Poisoning,IV fluids; Rest; Electrolytes
fatigue,body pain,nausea,Migraine,Pain relievers; Avoid bright light; Hydrate
fatigue,body pain,vomiting,Migraine,Pain relievers; Avoid bright light; Hydrate
fatigue,body pain,diarrhea,Dengue,Papaya leaf juice; Hydrate; Consult doctor
fatigue,body pain,none,Malaria,Antimalarial drugs; Bed rest; Fluids
fatigue,chills,fever,Bronchitis,Honey; Ginger tea; Steam inhalation
fatigue,chills,cough,Typhoid,Antibiotics; Hydration; Consult doctor
fatigue,chills,headache,Dengue,Papaya leaf juice; Hydrate; Consult doctor
fatigue,chills,body pain,Dengue,Papaya leaf juice; Hydrate; Consult doctor
fatigue,chills,chills,Flu,Bed rest; Hydration; Paracetamol
fatigue,chills,sore throat,Typhoid,Antibiotics; Hydration; Consult doctor
fatigue,chills,shortness of breath,Typhoid,Antibiotics; Hydration; Consult doctor
fatigue,chills,fatigue,Migraine,Pain relievers; Avoid bright light; Hydrate
fatigue,chills,nausea,Dengue,Papaya leaf juice; Hydrate; Consult doctor
fatigue,chills,vomiting,Pneumonia,Antibiotics; Hydration; Hospital care
fatigue,chills,diarrhea,Pneumonia,Antibiotics; Hydration; Hospital care
fatigue,chills,none,Strep Throat,Antibiotics; Hydration; Rest
fatigue,sore throat,fever,Migraine,Pain relievers; Avoid bright light; Hydrate
fatigue,sore throat,cough,Strep Throat,Antibiotics; Hydration; Rest
fatigue,sore throat,headache,Asthma,Inhaler; Avoid triggers; Rest
fatigue,sore throat,body pain,Asthma,Inhaler; Avoid triggers; Rest
fatigue,sore throat,chills,Bronchitis,Honey; Ginger tea; Steam inhalation
fatigue,sore throat,sore throat,Migraine,Pain relievers; Avoid bright light; Hydrate
fatigue,sore throat,shortness of breath,Strep Throat,Antibiotics; Hydration; Rest
fatigue,sore throat,fatigue,Asthma,Inhaler; Avoid triggers; Rest
fatigue,sore throat,nausea,Asthma,Inhaler; Avoid triggers; Rest
fatigue,sore throat,vomiting,COVID-19,Isolation; Hydration; Doctor consultation
fatigue,sore throat,diarrhea,Common Cold,Rest; Drink warm fluids; Paracetamol
fatigue,sore throat,none,Pneumonia,Antibiotics; Hydration; Hospital care
fatigue,shortness of breath,fever,Malaria,Antimalarial drugs; Bed rest; Fluids
fatigue,shortness of breath,cough,Malaria,Antimalarial drugs; Bed rest; Fluids
fatigue,shortness of breath,headache,Pneumonia,Antibiotics; Hydration; Hospital care
fatigue,shortness of breath,body pain,Flu,Bed rest; Hydration; Paracetamol
fatigue,shortness of breath,chills,COVID-19,Isolation; Hydration; Doctor consultation
fatigue,shortness of breath,sore throat,Malaria,Antimalarial drugs; Bed rest; Fluids
fatigue,shortness of breath,shortness of breath,Malaria,Antimalarial drugs; Bed rest; Fluids
fatigue,shortness of breath,fatigue,Pneumonia,Antibiotics; Hydration; Hospital care
fatigue,shortness of breath,nausea,Pneumonia,Antibiotics; Hydration; Hospital care
fatigue,shortness of breath,vomiting,Gastroenteritis,ORS; Rest; Hydration
fatigue,shortness of breath,diarrhea,Asthma,Inhaler; Avoid triggers; Rest
fatigue,shortness of breath,none,Food Poisoning,IV fluids; Rest; Electrolytes
fatigue,fatigue,fever,Typhoid,Antibiotics; Hydration; Consult doctor
fatigue,fatigue,cough,Typhoid,Antibiotics; Hydration; Consult doctor
fatigue,fatigue,headache,Food Poisoning,IV fluids; Rest; Electrolytes
fatigue,fatigue,body pain,Dengue,Papaya leaf juice; Hydrate; Consult doctor
fatigue,fatigue,chills,Gastroenteritis,ORS; Rest; Hydration
fatigue,fatigue,sore throat,Typhoid,Antibiotics; Hydration; Consult doctor
fatigue,fatigue,shortness of breath,Typhoid,Antibiotics; Hydration; Consult doctor
fatigue,fatigue,fatigue,Migraine,Pain relievers; Avoid bright light; Hydrate
fatigue,fatigue,nausea,Food Poisoning,IV fluids; Rest; Electrolytes
fatigue,fatigue,vomiting,Migraine,Pain relievers; Avoid bright light; Hydrate
fatigue,fatigue,diarrhea,Pneumonia,Antibiotics; Hydration; Hospital care
fatigue,fatigue,none,Bronchitis,Honey; Ginger tea; Steam inhalation
fatigue,nausea,fever,Common Cold,Rest; Drink warm fluids; Paracetamol
fatigue,nausea,cough,Asthma,Inhaler; Avoid triggers; Rest
fatigue,nausea,headache,Food Poisoning,IV fluids; Rest; Electrolytes
fatigue,nausea,body pain,Food Poisoning,IV fluids; Rest; Electrolytes
fatigue,nausea,chills,Flu,Bed rest; Hydration; Paracetamol
fatigue,nausea,sore throat,COVID-19,Isolation; Hydration; Doctor consultation
fatigue,nausea,shortness of breath,Asthma,Inhaler; Avoid triggers; Rest
fatigue,nausea,fatigue,Strep Throat,Antibiotics; Hydration; Rest
fatigue,nausea,nausea,Food Poisoning,IV fluids; Rest; Electrolytes
fatigue,nausea,vomiting,Migraine,Pain relievers; Avoid bright light; Hydrate
fatigue,nausea,diarrhea,Pneumonia,Antibiotics; Hydration; Hospital care
fatigue,nausea,none,Bronchitis,Honey; Ginger tea; Steam inhalation
fatigue,vomiting,fever,Food Poisoning,IV fluids; Rest; Electrolytes
fatigue,vomiting,cough,Malaria,Antimalarial drugs; Bed rest; Fluids
fatigue,vomiting,headache,Flu,Bed rest; Hydration; Paracetamol
fatigue,vomiting,body pain,Flu,Bed rest; Hydration; Paracetamol
fatigue,vomiting,chills,Bronchitis,Honey; Ginger tea; Steam inhalation
fatigue,vomiting,sore throat,Food Poisoning,IV fluids; Rest; Electrolytes
fatigue,vomiting,shortness of breath,Malaria,Antimalarial drugs; Bed rest; Fluids
fatigue,vomiting,fatigue,Gastroenteritis,ORS; Rest; Hydration
